Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","262","Djibouti","5111","Stocks","02122","Sheep","2022","2022","An","470014","I","Imputed value",""
"QCL","Crops and livestock products","212","Dominica","5111","Stocks","02122","Sheep","2019","2019","An","8322","I","Imputed value",""
"QCL","Crops and livestock products","212","Dominica","5111","Stocks","02122","Sheep","2020","2020","An","8399","I","Imputed value",""
"QCL","Crops and livestock products","212","Dominica","5111","Stocks","02122","Sheep","2021","2021","An","8471","I","Imputed value",""
"QCL","Crops and livestock products","212","Dominica","5111","Stocks","02122","Sheep","2022","2022","An","8387","E","Estimated value",""
"QCL","Crops and livestock products","214","Dominican Republic","5111","Stocks","02122","Sheep","2019","2019","An","259084","I","Imputed value",""
"QCL","Crops and livestock products","214","Dominican Republic","5111","Stocks","02122","Sheep","2020","2020","An","257509","I","Imputed value",""
"QCL","Crops and livestock products","214","Dominican Republic","5111","Stocks","02122","Sheep","2021","2021","An","258820","I","Imputed value",""
"QCL","Crops and livestock products","214","Dominican Republic","5111","Stocks","02122","Sheep","2022","2022","An","260130","I","Imputed value",""
"QCL","Crops and livestock products","218","Ecuador","5111","Stocks","02122","Sheep","2019","2019","An","464644","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5111","Stocks","02122","Sheep","2020","2020","An","496535","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5111","Stocks","02122","Sheep","2021","2021","An","528828","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5111","Stocks","02122","Sheep","2022","2022","An","551960","A","Official figure",""
"QCL","Crops and livestock products","818","Egypt","5111","Stocks","02122","Sheep","2019","2019","An","2082000","A","Official figure",""
"QCL","Crops and livestock products","818","Egypt","5111","Stocks","02122","Sheep","2020","2020","An","1936000","A","Official figure",""
"QCL","Crops and livestock products","818","Egypt","5111","Stocks","02122","Sheep","2021","2021","An","1938000","A","Official figure",""
"QCL","Crops and livestock products","818","Egypt","5111","Stocks","02122","Sheep","2022","2022","An","2083708","I","Imputed value",""
"QCL","Crops and livestock products","222","El Salvador","5111","Stocks","02122","Sheep","2019","2019","An","5515","I","Imputed value",""
"QCL","Crops and livestock products","222","El Salvador","5111","Stocks","02122","Sheep","2020","2020","An","5565","I","Imputed value",""
"QCL","Crops and livestock products","222","El Salvador","5111","Stocks","02122","Sheep","2021","2021","An","5604","I","Imputed value",""
"QCL","Crops and livestock products","222","El Salvador","5111","Stocks","02122","Sheep","2022","2022","An","5644","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5111","Stocks","02122","Sheep","2019","2019","An","41024","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5111","Stocks","02122","Sheep","2020","2020","An","41302","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5111","Stocks","02122","Sheep","2021","2021","An","41536","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5111","Stocks","02122","Sheep","2022","2022","An","41771","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5111","Stocks","02122","Sheep","2019","2019","An","2379766","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5111","Stocks","02122","Sheep","2020","2020","An","2410337","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5111","Stocks","02122","Sheep","2021","2021","An","2438025","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5111","Stocks","02122","Sheep","2022","2022","An","2462123","E","Estimated value",""
